timestamp,dataset,epoch,disc_mean,disc_std,pred_mean,pred_std,cross_corr_mean,context_fid_mean,eval_command
2026-06-01T10:00:44,energy,50,0.1225,0.0064,0.251,0.0001,0.7661,0.0355,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T10:39:44,energy,100,0.1408,0.0051,0.251,0.0002,0.6138,0.0447,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T11:31:18,energy,150,0.0496,0.0048,0.2505,0.0002,0.4721,0.0346,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T12:08:55,energy,200,0.033,0.0067,0.2502,0.0002,0.642,0.0401,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T12:46:47,energy,250,0.0354,0.0046,0.2501,0.0003,0.7381,0.0486,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T13:25:38,energy,300,0.0311,0.0051,0.25,0.0003,0.6139,0.0312,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
2026-06-01T14:04:56,energy,350,0.0534,0.0125,0.2499,0.0003,0.6006,0.0363,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget reg15_500 --resume true
