timestamp            dataset  epoch  disc_mean  disc_std  pred_mean  pred_std  cross_corr_mean  context_fid_mean  eval_command                                                                                              
2026-06-08T14:47:40  energy   50     0.1334     0.008     0.251      0.0001    0.4845           0.0464            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T15:25:41  energy   100    0.144      0.0092    0.2512     0.0002    0.5985           0.0504            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T16:04:16  energy   150    0.0504     0.0079    0.2506     0.0003    0.6714           0.0417            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T16:43:51  energy   200    0.039      0.005     0.2503     0.0002    0.5981           0.0481            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T17:20:34  energy   250    0.0271     0.0038    0.2502     0.0003    0.6531           0.0275            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T17:56:57  energy   300    0.0258     0.0037    0.25       0.0002    0.5748           0.0255            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4              
2026-06-08T18:49:38  energy   350    0.031      0.0055    0.2499     0.0002    0.6668           0.0387            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
2026-06-08T19:31:46  energy   400    0.0329     0.0055    0.25       0.0003    0.5495           0.0234            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
2026-06-08T20:10:59  energy   450    0.0612     0.0127    0.2501     0.0003    0.4851           0.0222            python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget pro4 --resume true
