timestamp,dataset,epoch,disc_mean,disc_std,pred_mean,pred_std,cross_corr_mean,context_fid_mean,eval_command
2026-06-09T15:29:14,energy,50,0.1324,0.0109,0.251,0.0001,0.5762,0.0507,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T16:09:12,energy,100,0.1203,0.0087,0.2511,0.0002,0.5754,0.0406,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T16:45:39,energy,150,0.0438,0.0087,0.2507,0.0003,0.6908,0.0296,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T17:22:16,energy,200,0.0316,0.0034,0.2501,0.0002,0.3863,0.0314,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T17:58:32,energy,250,0.023,0.0046,0.2502,0.0002,0.7324,0.0192,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T18:34:48,energy,300,0.0304,0.0089,0.25,0.0002,0.6477,0.0175,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
2026-06-09T19:12:35,energy,350,0.0792,0.0113,0.2499,0.0004,0.5884,0.0237,python run_unconditional.py --config ./configs/unconditional/energy.yaml --train_budget max1
